run	genotype	biorep
UPS1_125amol_R2	125amol	2
UPS1_2500amol_R2	2500amol	2
UPS1_50000amol_R2	50000amol	2
UPS1_500amol_R2	500amol	2
UPS1_12500amol_R1	12500amol	1
UPS1_125amol_R3	125amol	3
UPS1_2500amol_R3	2500amol	3
UPS1_50000amol_R3	50000amol	3
UPS1_500amol_R3	500amol	3
UPS1_25000amol_R1	25000amol	1
UPS1_250amol_R1	250amol	1
UPS1_5000amol_R1	5000amol	1
UPS1_50amol_R1	50amol	1
UPS1_12500amol_R2	12500amol	2
UPS1_25000amol_R2	25000amol	2
UPS1_250amol_R2	250amol	2
UPS1_5000amol_R2	5000amol	2
UPS1_50amol_R2	50amol	2
UPS1_12500amol_R3	12500amol	3
UPS1_25000amol_R3	25000amol	3
UPS1_250amol_R3	250amol	3
UPS1_5000amol_R3	5000amol	3
UPS1_50amol_R3	50amol	3
UPS1_125amol_R1	125amol	1
UPS1_2500amol_R1	2500amol	1
UPS1_50000amol_R1	50000amol	1
UPS1_500amol_R1	500amol	1
