task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
23	ab/c89ca2	20310	convert_raw_mzml (21)	CACHED	0	2021-01-11 08:41:00.083	6m 14s	6m 10s	140.5%	1.8 GB	4.6 GB	1.6 GB	709.9 MB
13	24/fece05	20218	convert_raw_mzml (12)	CACHED	0	2021-01-11 08:41:00.067	6m 11s	6m 8s	140.4%	1.8 GB	4.6 GB	1.6 GB	722.6 MB
10	35/0517ff	19618	convert_raw_mzml (9)	CACHED	0	2021-01-11 08:40:59.911	6m 3s	6m 1s	139.8%	1.7 GB	4.5 GB	1.6 GB	690.5 MB
11	ea/b51ba1	19829	convert_raw_mzml (10)	CACHED	0	2021-01-11 08:40:59.979	6m 9s	6m 6s	140.7%	1.8 GB	4.7 GB	1.7 GB	697.9 MB
14	96/f57aa5	19802	convert_raw_mzml (13)	CACHED	0	2021-01-11 08:40:59.974	6m 3s	6m 1s	140.3%	1.8 GB	4.6 GB	1.6 GB	694.2 MB
19	da/4aa7c5	20094	convert_raw_mzml (18)	CACHED	0	2021-01-11 08:41:00.037	6m 2s	5m 58s	141.8%	1.8 GB	4.5 GB	1.6 GB	688.7 MB
1	2c/84d9bc	19620	convert_raw_mzml (2)	CACHED	0	2021-01-11 08:40:59.920	6m 2s	6m	141.4%	1.8 GB	4.6 GB	1.6 GB	692.6 MB
27	cf/197e5b	19646	convert_raw_mzml (25)	CACHED	0	2021-01-11 08:40:59.936	6m 10s	6m 7s	140.4%	1.8 GB	5.1 GB	1.7 GB	698.3 MB
28	cf/8d1dd7	19628	convert_raw_mzml (26)	CACHED	0	2021-01-11 08:40:59.929	6m 8s	6m 6s	140.5%	1.8 GB	4.6 GB	1.6 GB	715.6 MB
9	1e/ec1681	6479	create_decoy_database (1)	CACHED	0	2021-01-11 08:46:57.441	3.3s	1.6s	318.9%	203.1 MB	4.8 GB	23.8 MB	7.4 MB
5	1e/cce751	9495	convert_raw_mzml (7)	CACHED	0	2021-01-11 08:47:00.751	5m 5s	5m 2s	137.1%	1.8 GB	4.6 GB	1.6 GB	725.9 MB
29	4b/276fb3	5152	convert_raw_mzml (27)	CACHED	0	2021-01-11 08:46:54.546	5m 1s	5m	136.5%	1.8 GB	4.5 GB	1.6 GB	713.1 MB
22	48/17c9e0	20138	convert_raw_mzml (20)	CACHED	0	2021-01-11 08:41:00.046	6m 15s	6m 12s	139.9%	1.8 GB	4.5 GB	1.6 GB	722.2 MB
8	21/ee5ef2	19743	convert_raw_mzml (8)	CACHED	0	2021-01-11 08:40:59.960	6m 5s	6m 2s	140.9%	1.8 GB	5 GB	1.6 GB	687.9 MB
3	1d/92893c	19711	convert_raw_mzml (6)	CACHED	0	2021-01-11 08:40:59.954	6m 4s	6m 2s	139.9%	1.8 GB	4.6 GB	1.6 GB	685.4 MB
17	c8/e57ccd	19987	convert_raw_mzml (15)	CACHED	0	2021-01-11 08:40:59.993	5m 56s	5m 52s	140.3%	1.7 GB	4.4 GB	1.6 GB	666.9 MB
18	ea/db9f66	20188	convert_raw_mzml (17)	CACHED	0	2021-01-11 08:41:00.061	6m 6s	6m 3s	140.7%	1.8 GB	4.7 GB	1.7 GB	691.8 MB
25	ba/423fae	19687	convert_raw_mzml (23)	CACHED	0	2021-01-11 08:40:59.948	6m 1s	5m 59s	140.9%	1.8 GB	4.5 GB	1.6 GB	681.6 MB
6	a3/c8f129	6025	convert_raw_mzml (3)	CACHED	0	2021-01-11 08:46:55.665	4m 57s	4m 56s	136.9%	1.8 GB	4.7 GB	1.6 GB	691.3 MB
20	41/6679d0	19660	convert_raw_mzml (19)	CACHED	0	2021-01-11 08:40:59.941	5m 59s	5m 57s	140.7%	1.8 GB	4.5 GB	1.6 GB	682.3 MB
12	22/8f41b7	20050	convert_raw_mzml (11)	CACHED	0	2021-01-11 08:41:00.027	6m 8s	6m 5s	140.5%	1.8 GB	4.6 GB	1.6 GB	706.5 MB
