sample	group
Sample1_Tr_1	12500amol
Sample1_Tr_2	12500amol
Sample1_Tr_3	12500amol
Sample2_Tr_1	125amol
Sample2_Tr_2	125amol
Sample2_Tr_3	125amol
Sample3_Tr_1	25000amol
Sample3_Tr_2	25000amol
Sample3_Tr_3	25000amol
Sample4_Tr_1	2500amol
Sample4_Tr_2	2500amol
Sample4_Tr_3	2500amol
Sample5_Tr_1	250amol
Sample5_Tr_2	250amol
Sample5_Tr_3	250amol
Sample6_Tr_1	50000amol
Sample6_Tr_2	50000amol
Sample6_Tr_3	50000amol
Sample7_Tr_1	5000amol
Sample7_Tr_2	5000amol
Sample7_Tr_3	5000amol
Sample8_Tr_1	500amol
Sample8_Tr_2	500amol
Sample8_Tr_3	500amol
Sample9_Tr_1	50amol
Sample9_Tr_2	50amol
Sample9_Tr_3	50amol
