mzdb_file	exp_condition
./UPS1_12500amol_R1.mzDB	Main
./UPS1_12500amol_R2.mzDB	Main
./UPS1_12500amol_R3.mzDB	Main
./UPS1_125amol_R2.mzDB	Main
./UPS1_125amol_R3.mzDB	Main
./UPS1_125amol_R1.mzDB	Main
./UPS1_25000amol_R1.mzDB	Main
./UPS1_25000amol_R2.mzDB	Main
./UPS1_25000amol_R3.mzDB	Main
./UPS1_2500amol_R2.mzDB	Main
./UPS1_2500amol_R3.mzDB	Main
./UPS1_2500amol_R1.mzDB	Main
./UPS1_250amol_R1.mzDB	Main
./UPS1_250amol_R2.mzDB	Main
./UPS1_250amol_R3.mzDB	Main
./UPS1_50000amol_R2.mzDB	Main
./UPS1_50000amol_R3.mzDB	Main
./UPS1_50000amol_R1.mzDB	Main
./UPS1_5000amol_R1.mzDB	Main
./UPS1_5000amol_R2.mzDB	Main
./UPS1_5000amol_R3.mzDB	Main
./UPS1_500amol_R1.mzDB	Main
./UPS1_500amol_R2.mzDB	Main
./UPS1_500amol_R3.mzDB	Main
./UPS1_50amol_R1.mzDB	Main
./UPS1_50amol_R2.mzDB	Main
./UPS1_50amol_R3.mzDB	Main
