task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
9	83/98ccdc	11962	convert_raw_mgf (7)	COMPLETED	0	2020-05-02 20:25:05.536	2m 57s	2m 55s	146.9%	1.6 GB	4.2 GB	483.4 KB	713.8 MB
12	8a/207e37	15623	convert_raw_mgf (8)	COMPLETED	0	2020-05-02 20:28:02.516	2m 45s	2m 43s	149.4%	1.7 GB	4.3 GB	524.8 KB	714.9 MB
14	fe/d3dfc8	19087	convert_raw_mzml (6)	COMPLETED	0	2020-05-02 20:30:47.212	2m 3s	2m 1s	171.4%	1.7 GB	4.2 GB	1.6 GB	1.2 GB
10	1e/c5aef3	21892	convert_raw_mzml (3)	COMPLETED	0	2020-05-02 20:32:50.310	2m 7s	2m 5s	170.0%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
8	21/5498a4	24778	convert_raw_mgf (6)	COMPLETED	0	2020-05-02 20:34:56.883	2m 35s	2m 33s	149.7%	1.6 GB	4.2 GB	457.4 KB	651.4 MB
16	c9/57529e	28123	convert_raw_mzml (8)	COMPLETED	0	2020-05-02 20:37:31.918	2m 3s	2m 2s	172.2%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
2	29/fdc425	30929	convert_raw_mgf (2)	COMPLETED	0	2020-05-02 20:39:35.175	3m 2s	3m	144.2%	1.8 GB	4.3 GB	516 KB	694.9 MB
6	3a/81219f	2252	convert_raw_mgf (5)	COMPLETED	0	2020-05-02 20:42:37.317	2m 29s	2m 27s	152.2%	1.7 GB	4.3 GB	458.4 KB	651.5 MB
13	51/822488	5463	convert_raw_mzml (5)	COMPLETED	0	2020-05-02 20:45:05.967	2m 4s	2m 2s	170.4%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
1	87/78352e	8263	convert_raw_mgf (1)	COMPLETED	0	2020-05-02 20:47:09.535	3m 2s	3m	144.7%	1.6 GB	4.2 GB	436.5 KB	696.4 MB
11	46/3d7d7a	11980	convert_raw_mzml (4)	COMPLETED	0	2020-05-02 20:50:11.443	2m 5s	2m 3s	169.9%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
5	2d/9e3aa9	14791	convert_raw_mzml (1)	COMPLETED	0	2020-05-02 20:52:16.110	2m 6s	2m 4s	169.4%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
15	da/f2826a	17684	convert_raw_mzml (7)	COMPLETED	0	2020-05-02 20:54:21.970	2m 6s	2m 5s	170.7%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
17	ca/4d5d82	20573	create_decoy_database (1)	COMPLETED	0	2020-05-02 20:56:28.256	4.7s	3s	306.9%	432.8 MB	4.1 GB	29.2 MB	7.9 MB
7	3c/7c3efe	21030	convert_raw_mzml (2)	COMPLETED	0	2020-05-02 20:56:33.004	2m 5s	2m 4s	167.0%	1.7 GB	4.3 GB	1.6 GB	1.2 GB
3	4e/7fda09	23803	convert_raw_mgf (3)	COMPLETED	0	2020-05-02 20:58:38.315	2m 39s	2m 37s	150.2%	1.7 GB	4.4 GB	516.5 KB	697.6 MB
4	75/9371d2	27219	convert_raw_mgf (4)	COMPLETED	0	2020-05-02 21:01:17.215	2m 25s	2m 24s	155.3%	1.7 GB	4.3 GB	458.7 KB	651.8 MB
18	55/6a9452	30372	convert_raw_mgf (9)	COMPLETED	0	2020-05-02 21:03:42.685	3m 25s	3m 23s	139.6%	1.7 GB	4.3 GB	523.4 KB	711.6 MB
19	1b/12cffd	2060	convert_raw_mzml (9)	COMPLETED	0	2020-05-02 21:07:07.612	2m 9s	2m 7s	169.3%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
20	95/cd13bb	4952	convert_raw_mgf (10)	COMPLETED	0	2020-05-02 21:09:16.607	2m 51s	2m 49s	145.2%	1.7 GB	4.4 GB	502.5 KB	664.5 MB
21	f3/fe848d	8476	convert_raw_mzml (10)	COMPLETED	0	2020-05-02 21:12:07.218	2m 9s	2m 7s	167.7%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
22	f7/d3c5e3	11363	convert_raw_mgf (11)	COMPLETED	0	2020-05-02 21:14:16.152	3m 4s	3m 2s	142.5%	1.7 GB	4.2 GB	465.6 KB	667.2 MB
23	b7/fd825d	15161	convert_raw_mzml (11)	COMPLETED	0	2020-05-02 21:17:19.971	2m 6s	2m 4s	168.9%	1.7 GB	4.3 GB	1.6 GB	1.2 GB
24	c4/8f057c	18050	convert_raw_mgf (12)	COMPLETED	0	2020-05-02 21:19:25.670	2m 53s	2m 51s	146.1%	1.8 GB	4.3 GB	464.9 KB	665.6 MB
25	ef/6cb55b	21664	convert_raw_mgf (13)	COMPLETED	0	2020-05-02 21:22:18.548	2m 53s	2m 51s	143.7%	1.7 GB	4.3 GB	497.6 KB	652.7 MB
26	96/65ee82	25290	convert_raw_mzml (12)	COMPLETED	0	2020-05-02 21:25:11.616	2m 11s	2m 9s	169.1%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
27	50/2003c6	28285	convert_raw_mgf (14)	COMPLETED	0	2020-05-02 21:27:22.359	2m 50s	2m 49s	145.7%	1.7 GB	4.3 GB	496.6 KB	651.2 MB
28	c2/51f4d2	31806	convert_raw_mzml (13)	COMPLETED	0	2020-05-02 21:30:12.821	2m 3s	2m 1s	169.2%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
29	f0/f82478	2206	convert_raw_mzml (14)	COMPLETED	0	2020-05-02 21:32:15.592	2m 9s	2m 7s	167.8%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
30	e0/44e884	5109	convert_raw_mzml (15)	COMPLETED	0	2020-05-02 21:34:24.253	2m 6s	2m 4s	166.8%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
31	53/d8daf8	7975	convert_raw_mzml (16)	COMPLETED	0	2020-05-02 21:36:30.556	2m 13s	2m 11s	161.9%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
32	18/c79acb	10945	convert_raw_mgf (15)	COMPLETED	0	2020-05-02 21:38:43.503	2m 34s	2m 33s	152.2%	1.7 GB	4.3 GB	461.5 KB	657.8 MB
33	c2/3c0a95	14266	convert_raw_mgf (16)	COMPLETED	0	2020-05-02 21:41:17.970	2m 45s	2m 43s	148.8%	1.7 GB	4.4 GB	526.6 KB	717.7 MB
34	c8/a2ce7a	17732	convert_raw_mgf (17)	COMPLETED	0	2020-05-02 21:44:02.837	2m 56s	2m 54s	144.7%	1.7 GB	4.3 GB	486.3 KB	719.9 MB
35	85/cf31d1	21342	convert_raw_mzml (17)	COMPLETED	0	2020-05-02 21:46:58.788	2m 7s	2m 5s	170.0%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
36	ee/9c1080	24300	convert_raw_mgf (18)	COMPLETED	0	2020-05-02 21:49:06.073	2m 54s	2m 52s	145.7%	1.7 GB	4.4 GB	529.1 KB	723.4 MB
37	77/5cfe23	27969	convert_raw_mzml (18)	COMPLETED	0	2020-05-02 21:51:59.807	2m 5s	2m 3s	171.0%	1.7 GB	4.3 GB	1.6 GB	1.2 GB
38	74/afe6de	30826	convert_raw_mgf (19)	COMPLETED	0	2020-05-02 21:54:05.018	2m 51s	2m 49s	146.5%	1.7 GB	4.3 GB	504.3 KB	669.7 MB
39	f8/ad4364	1931	convert_raw_mzml (19)	COMPLETED	0	2020-05-02 21:56:55.581	2m 6s	2m 4s	170.3%	1.7 GB	4.2 GB	1.6 GB	1.2 GB
40	d2/ff2a64	4772	convert_raw_mgf (20)	COMPLETED	0	2020-05-02 21:59:01.428	2m 47s	2m 45s	148.0%	1.6 GB	4.3 GB	505.2 KB	671.5 MB
41	80/a55417	8242	convert_raw_mgf (21)	COMPLETED	0	2020-05-02 22:01:48.214	2m 54s	2m 52s	145.8%	1.7 GB	4.3 GB	506.5 KB	671.5 MB
42	0b/8a3ab6	11876	convert_raw_mzml (20)	COMPLETED	0	2020-05-02 22:04:42.311	2m 7s	2m 5s	166.3%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
43	07/49d9f6	14791	convert_raw_mgf (22)	COMPLETED	0	2020-05-02 22:06:49.300	3m 6s	3m 4s	143.2%	1.7 GB	4.4 GB	504.8 KB	668.1 MB
44	8c/ff60b0	18582	convert_raw_mzml (21)	COMPLETED	0	2020-05-02 22:09:55.619	2m 9s	2m 7s	167.1%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
45	b7/839473	21503	convert_raw_mzml (22)	COMPLETED	0	2020-05-02 22:12:04.466	2m 15s	2m 13s	167.8%	1.8 GB	4.4 GB	1.7 GB	1.2 GB
46	01/26b077	24488	convert_raw_mzml (23)	COMPLETED	0	2020-05-02 22:14:19.808	2m 24s	2m 22s	160.8%	1.8 GB	4.4 GB	1.7 GB	1.2 GB
