task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
6	1c/830b6b	20768	convert_raw_mgf (5)	COMPLETED	0	2020-05-03 15:24:08.872	4m 41s	4m 39s	137.5%	1.7 GB	4.4 GB	541.3 KB	651.2 MB
4	6d/8b6546	20751	convert_raw_mgf (3)	COMPLETED	0	2020-05-03 15:24:08.861	4m 51s	4m 49s	137.9%	1.8 GB	4.5 GB	551.3 KB	668.1 MB
15	aa/8f8807	20732	convert_raw_mgf (10)	COMPLETED	0	2020-05-03 15:24:08.841	5m 11s	5m 9s	134.9%	1.7 GB	4.4 GB	574.8 KB	717.7 MB
9	d9/2cee4c	20739	convert_raw_mgf (8)	COMPLETED	0	2020-05-03 15:24:08.853	5m 11s	5m 10s	135.0%	1.7 GB	4.4 GB	573.1 KB	714.9 MB
12	54/d4314b	10221	convert_raw_mzml (3)	COMPLETED	0	2020-05-03 15:28:49.926	3m 45s	3m 43s	159.4%	1.8 GB	4.8 GB	1.7 GB	1.2 GB
21	df/df9e6a	11546	convert_raw_mzml (9)	COMPLETED	0	2020-05-03 15:28:59.549	3m 43s	3m 41s	159.5%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
11	a0/db49cc	14042	convert_raw_mgf (9)	COMPLETED	0	2020-05-03 15:29:20.334	5m 17s	5m 16s	136.7%	1.8 GB	4.4 GB	510.5 KB	665.6 MB
7	39/d0d458	13894	convert_raw_mgf (7)	COMPLETED	0	2020-05-03 15:29:19.609	5m 29s	5m 27s	135.7%	1.8 GB	4.5 GB	549.5 KB	665.1 MB
17	59/5bd0ba	29659	convert_raw_mgf (11)	COMPLETED	0	2020-05-03 15:32:42.827	5m 11s	5m 9s	137.7%	1.8 GB	4.5 GB	545.4 KB	658.3 MB
25	ff/4cb349	21655	create_decoy_database (1)	COMPLETED	0	2020-05-03 15:37:53.515	9.5s	7.8s	251.7%	443 MB	4.2 GB	29.2 MB	7.9 MB
1	30/30efed	28558	convert_raw_mgf (1)	COMPLETED	0	2020-05-03 15:32:34.894	5m 30s	5m 28s	135.1%	1.7 GB	4.4 GB	571.8 KB	711.6 MB
14	71/40ce9a	8377	convert_raw_mzml (5)	COMPLETED	0	2020-05-03 15:34:48.316	3m 25s	3m 24s	160.6%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
18	f8/684d27	6869	convert_raw_mgf (12)	COMPLETED	0	2020-05-03 15:34:37.633	5m 18s	5m 16s	136.2%	1.7 GB	4.4 GB	543.5 KB	652.7 MB
23	16/ced25d	23137	convert_raw_mzml (11)	COMPLETED	0	2020-05-03 15:38:04.876	3m 44s	3m 43s	160.3%	1.8 GB	4.7 GB	1.7 GB	1.2 GB
19	3f/05260c	22888	convert_raw_mzml (7)	COMPLETED	0	2020-05-03 15:38:02.975	3m 49s	3m 48s	160.1%	1.9 GB	4.8 GB	1.7 GB	1.2 GB
24	bf/e65cac	24892	convert_raw_mzml (12)	COMPLETED	0	2020-05-03 15:38:13.638	3m 42s	3m 41s	160.1%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
8	d9/d2eeb9	9013	convert_raw_mzml (1)	COMPLETED	0	2020-05-03 15:41:49.287	3m 44s	3m 42s	158.5%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
20	b3/f8e3ea	10230	convert_raw_mzml (8)	COMPLETED	0	2020-05-03 15:41:55.836	3m 43s	3m 41s	159.5%	1.7 GB	4.4 GB	1.6 GB	1.2 GB
2	5d/02d192	32616	convert_raw_mgf (6)	COMPLETED	0	2020-05-03 15:39:55.267	5m 45s	5m 43s	135.9%	1.6 GB	4.4 GB	549.9 KB	667.2 MB
3	c3/f7a162	9613	convert_raw_mgf (2)	COMPLETED	0	2020-05-03 15:41:52.437	5m 35s	5m 33s	134.5%	1.6 GB	4.3 GB	495.8 KB	634.1 MB
16	b0/57b747	27021	convert_raw_mzml (6)	COMPLETED	0	2020-05-03 15:45:39.984	3m 48s	3m 46s	159.2%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
13	bd/6e5bb7	26022	convert_raw_mzml (4)	COMPLETED	0	2020-05-03 15:45:33.217	3m 57s	3m 55s	156.9%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
22	1a/11ee57	26751	convert_raw_mzml (10)	COMPLETED	0	2020-05-03 15:45:38.730	3m 55s	3m 54s	159.0%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
10	54/cba67c	3716	convert_raw_mzml (2)	COMPLETED	0	2020-05-03 15:47:27.404	3m 49s	3m 48s	158.6%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
5	78/40bab2	12552	convert_raw_mgf (4)	COMPLETED	0	2020-05-03 15:49:27.659	5m 8s	5m 6s	135.8%	1.7 GB	4.4 GB	512.5 KB	671.5 MB
26	67/9b0e30	13047	convert_raw_mgf (13)	COMPLETED	0	2020-05-03 15:49:30.477	5m 21s	5m 19s	134.3%	1.6 GB	4.4 GB	551.2 KB	671.5 MB
27	9e/dd200e	13806	convert_raw_mgf (14)	COMPLETED	0	2020-05-03 15:49:34.223	5m 17s	5m 16s	134.8%	1.6 GB	4.4 GB	550.5 KB	669.7 MB
28	ff/dccc50	22191	convert_raw_mgf (15)	COMPLETED	0	2020-05-03 15:51:16.548	5m 20s	5m 19s	133.8%	1.7 GB	4.5 GB	576.4 KB	719.9 MB
30	87/89b5a8	6056	convert_raw_mzml (13)	COMPLETED	0	2020-05-03 15:54:51.375	3m 13s	3m 11s	161.6%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
31	27/cca27a	6123	convert_raw_mzml (14)	COMPLETED	0	2020-05-03 15:54:51.696	3m 14s	3m 12s	160.5%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
29	6c/41b277	3781	convert_raw_mgf (16)	COMPLETED	0	2020-05-03 15:54:35.482	4m 57s	4m 56s	135.2%	1.6 GB	4.3 GB	503.9 KB	651.4 MB
32	f3/3c4640	14572	convert_raw_mgf (17)	COMPLETED	0	2020-05-03 15:56:36.706	4m 41s	4m 39s	135.8%	1.6 GB	4.3 GB	535.8 KB	639.9 MB
33	5d/1a7a74	21160	convert_raw_mgf (18)	COMPLETED	0	2020-05-03 15:58:03.963	4m 48s	4m 46s	135.6%	1.6 GB	4.4 GB	542.4 KB	651.8 MB
34	47/8a1b62	21403	convert_raw_mgf (19)	COMPLETED	0	2020-05-03 15:58:05.275	5m 2s	5m 1s	134.1%	1.6 GB	4.4 GB	573.3 KB	713.8 MB
35	19/427afc	28404	convert_raw_mgf (20)	COMPLETED	0	2020-05-03 15:59:32.854	4m 57s	4m 55s	134.9%	1.6 GB	4.4 GB	542.5 KB	651.5 MB
37	e1/30ff8e	11672	convert_raw_mzml (15)	COMPLETED	0	2020-05-03 16:02:51.673	3m 28s	3m 26s	157.8%	1.8 GB	4.6 GB	1.6 GB	1.2 GB
38	e6/3888f9	13482	convert_raw_mzml (16)	COMPLETED	0	2020-05-03 16:03:07.452	3m 14s	3m 12s	159.8%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
36	52/ef29b4	4378	convert_raw_mgf (21)	COMPLETED	0	2020-05-03 16:01:17.368	5m 22s	5m 21s	134.9%	1.5 GB	4.4 GB	564.2 KB	696.4 MB
39	bc/01ceb5	19722	convert_raw_mzml (17)	COMPLETED	0	2020-05-03 16:04:29.531	3m 19s	3m 18s	158.6%	1.8 GB	4.2 GB	1.6 GB	1.1 GB
40	3e/2bbdc3	27753	convert_raw_mzml (18)	COMPLETED	0	2020-05-03 16:06:19.425	3m 21s	3m 20s	158.4%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
42	f5/55ed74	30572	convert_raw_mzml (19)	COMPLETED	0	2020-05-03 16:06:39.553	3m 20s	3m 18s	157.3%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
41	06/3aa20e	28076	convert_raw_mgf (22)	COMPLETED	0	2020-05-03 16:06:21.149	5m 9s	5m 8s	135.4%	1.5 GB	4.3 GB	523.6 KB	694.9 MB
43	8c/4fd10e	4189	convert_raw_mgf (23)	COMPLETED	0	2020-05-03 16:07:48.934	5m 4s	5m 3s	136.7%	1.6 GB	4.4 GB	545.8 KB	657.8 MB
44	98/4652de	12149	convert_raw_mzml (20)	COMPLETED	0	2020-05-03 16:09:40.800	3m 25s	3m 24s	157.8%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
45	70/95edc4	14324	convert_raw_mzml (21)	COMPLETED	0	2020-05-03 16:09:59.220	3m 22s	3m 21s	159.9%	1.8 GB	4.6 GB	1.6 GB	1.2 GB
47	24/8cd8ce	21043	convert_raw_mzml (23)	COMPLETED	0	2020-05-03 16:11:30.272	3m 27s	3m 25s	161.2%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
46	7d/007cf2	27240	convert_raw_mzml (22)	COMPLETED	0	2020-05-03 16:12:53.307	3m 21s	3m 20s	160.5%	1.7 GB	4.3 GB	1.6 GB	1.2 GB
48	53/c2a87f	28961	convert_raw_mzml (24)	COMPLETED	0	2020-05-03 16:13:05.922	3m 22s	3m 21s	159.0%	1.7 GB	4.4 GB	1.6 GB	1.2 GB
49	73/3da6fb	30787	convert_raw_mgf (24)	COMPLETED	0	2020-05-03 16:13:21.179	4m 47s	4m 46s	136.7%	1.7 GB	4.3 GB	499.5 KB	642.3 MB
50	a4/3c676a	6022	convert_raw_mgf (25)	COMPLETED	0	2020-05-03 16:14:56.850	4m 59s	4m 57s	135.0%	1.7 GB	4.4 GB	578.1 KB	723.4 MB
51	32/d662c5	11797	convert_raw_mgf (26)	COMPLETED	0	2020-05-03 16:16:14.428	4m 56s	4m 55s	136.5%	1.7 GB	4.4 GB	564.4 KB	697.6 MB
52	2d/e633cd	13614	convert_raw_mgf (27)	COMPLETED	0	2020-05-03 16:16:28.229	4m 50s	4m 49s	137.1%	1.7 GB	4.4 GB	548.9 KB	664.5 MB
53	47/dd22e2	21020	convert_raw_mzml (25)	COMPLETED	0	2020-05-03 16:18:08.252	3m 13s	3m 11s	160.4%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
54	48/3471b3	28612	convert_raw_mzml (26)	COMPLETED	0	2020-05-03 16:19:55.490	3m 15s	3m 14s	160.7%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
58	62/07ab7f	11279	create_searchgui_paramfile (1)	COMPLETED	0	2020-05-03 16:23:10.767	4.6s	3.2s	307.0%	220.1 MB	4.3 GB	24.2 MB	381 KB
55	39/fd7d40	1963	convert_raw_mzml (27)	COMPLETED	0	2020-05-03 16:21:10.481	3m 8s	3m 7s	160.0%	1.8 GB	4.3 GB	1.6 GB	1.2 GB
56	d3/6601d2	3202	convert_mzml_mzdb (1)	COMPLETED	0	2020-05-03 16:21:18.672	3m 12s	3m 10s	98.7%	580.1 MB	33.6 GB	2.8 GB	889.7 MB
57	dc/f167b0	4223	convert_mzml_mzdb (2)	COMPLETED	0	2020-05-03 16:21:21.066	3m 11s	3m 10s	98.6%	579.9 MB	33.6 GB	2.8 GB	883.7 MB
59	39/f48197	11846	convert_mzml_mzdb (3)	COMPLETED	0	2020-05-03 16:23:15.378	2m 57s	2m 56s	97.4%	577.2 MB	33.6 GB	2.8 GB	868.5 MB
60	fa/c4eda5	15643	convert_mzml_mzdb (4)	COMPLETED	0	2020-05-03 16:24:18.621	2m 51s	2m 50s	97.6%	577.6 MB	33.6 GB	2.8 GB	881.4 MB
62	99/fbb2e6	17147	convert_mzml_mzdb (6)	COMPLETED	0	2020-05-03 16:24:32.057	2m 51s	2m 49s	97.6%	576.8 MB	33.6 GB	2.8 GB	872 MB
61	8f/91939b	16795	convert_mzml_mzdb (5)	COMPLETED	0	2020-05-03 16:24:30.666	2m 53s	2m 51s	97.6%	579.8 MB	33.6 GB	2.8 GB	890.4 MB
63	91/cdc966	22649	convert_mzml_mzdb (7)	COMPLETED	0	2020-05-03 16:26:12.711	3m 1s	3m	97.6%	592.8 MB	33.6 GB	2.9 GB	906.3 MB
64	99/faaf37	25740	convert_mzml_mzdb (8)	COMPLETED	0	2020-05-03 16:27:09.649	3m 3s	3m 1s	97.7%	593.2 MB	33.6 GB	2.9 GB	901.7 MB
65	90/d6871c	27040	convert_mzml_mzdb (9)	COMPLETED	0	2020-05-03 16:27:22.656	2m 54s	2m 52s	97.5%	580.5 MB	33.6 GB	2.8 GB	879.6 MB
66	e1/e2a8e9	27184	convert_mzml_mzdb (10)	COMPLETED	0	2020-05-03 16:27:23.447	2m 53s	2m 52s	98.0%	581.7 MB	33.6 GB	2.8 GB	884.7 MB
67	00/ef0098	648	convert_mzml_mzdb (11)	COMPLETED	0	2020-05-03 16:29:13.972	3m 2s	3m 1s	98.5%	597.7 MB	33.7 GB	2.9 GB	918.4 MB
68	e4/4d9683	4655	convert_mzml_mzdb (12)	COMPLETED	0	2020-05-03 16:30:12.490	2m 50s	2m 49s	98.2%	675.2 MB	33.6 GB	2.7 GB	861.2 MB
70	4b/d496b8	5180	convert_mzml_mzdb (14)	COMPLETED	0	2020-05-03 16:30:16.678	2m 56s	2m 54s	98.0%	581.6 MB	33.6 GB	2.8 GB	879.5 MB
69	f5/469835	5139	convert_mzml_mzdb (13)	COMPLETED	0	2020-05-03 16:30:16.634	2m 57s	2m 56s	98.5%	582.3 MB	33.6 GB	2.8 GB	881.4 MB
71	b9/20885d	11870	convert_mzml_mzdb (15)	COMPLETED	0	2020-05-03 16:32:15.786	3m 7s	3m 6s	98.1%	598 MB	33.7 GB	2.9 GB	923.3 MB
72	f7/7c4e41	14984	convert_mzml_mzdb (16)	COMPLETED	0	2020-05-03 16:33:02.636	2m 49s	2m 48s	98.6%	575.8 MB	33.6 GB	2.7 GB	861.5 MB
73	dc/a3f4a4	15997	convert_mzml_mzdb (17)	COMPLETED	0	2020-05-03 16:33:12.645	2m 47s	2m 46s	98.7%	675.5 MB	33.6 GB	2.7 GB	851.8 MB
74	59/dfed15	16327	convert_mzml_mzdb (18)	COMPLETED	0	2020-05-03 16:33:13.707	2m 49s	2m 48s	98.7%	676.4 MB	33.6 GB	2.8 GB	870.8 MB
75	c4/107f9c	23218	convert_mzml_mzdb (19)	COMPLETED	0	2020-05-03 16:35:22.786	3m	2m 58s	98.4%	592.5 MB	33.6 GB	2.9 GB	901.5 MB
76	4e/cf8ca9	25048	convert_mzml_mzdb (20)	COMPLETED	0	2020-05-03 16:35:51.585	2m 49s	2m 48s	98.1%	576.6 MB	33.6 GB	2.8 GB	875.2 MB
78	36/11686c	26420	convert_mzml_mzdb (22)	COMPLETED	0	2020-05-03 16:36:03.023	2m 49s	2m 48s	97.9%	577.4 MB	33.6 GB	2.8 GB	877.4 MB
77	e2/e20c3e	25842	convert_mzml_mzdb (21)	COMPLETED	0	2020-05-03 16:35:59.693	2m 58s	2m 56s	98.1%	589.6 MB	33.6 GB	2.9 GB	894.5 MB
79	57/49776a	1106	convert_mzml_mzdb (23)	COMPLETED	0	2020-05-03 16:38:22.358	2m 56s	2m 55s	98.6%	589.1 MB	33.6 GB	2.9 GB	897.5 MB
80	0d/3a8f0a	2643	convert_mzml_mzdb (24)	COMPLETED	0	2020-05-03 16:38:40.772	2m 48s	2m 46s	98.7%	575.5 MB	33.6 GB	2.7 GB	857 MB
82	71/c2fcb4	5007	convert_mzml_mzdb (26)	COMPLETED	0	2020-05-03 16:38:57.662	2m 59s	2m 58s	98.7%	588.8 MB	33.6 GB	2.9 GB	900.2 MB
81	30/e39715	4296	convert_mzml_mzdb (25)	COMPLETED	0	2020-05-03 16:38:52.059	3m 5s	3m 4s	98.7%	599 MB	33.7 GB	2.9 GB	914.7 MB
92	53/710b23	11992	run_searchgui_search (10)	COMPLETED	0	2020-05-03 16:41:18.785	3m 13s	3m 12s	106.7%	867.4 MB	5.3 GB	1.4 GB	96 MB
88	b0/d7518c	13193	run_searchgui_search (6)	COMPLETED	0	2020-05-03 16:41:28.347	3m 13s	3m 11s	107.4%	832.1 MB	5.1 GB	1.4 GB	95.4 MB
