task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
14	13/527ad7	43385	convert_raw_mgf (10)	COMPLETED	0	2020-05-03 06:31:41.626	4m 48s	4m 44s	81.4%	1.8 GB	5.4 GB	1.1 MB	665.1 MB
38	26/5e49a8	43045	convert_raw_mgf (22)	COMPLETED	0	2020-05-03 06:31:41.494	5m	4m 58s	71.6%	1.7 GB	4.4 GB	545.3 KB	651.4 MB
9	d9/b500c6	43613	convert_raw_mgf (8)	COMPLETED	0	2020-05-03 06:31:41.683	5m 5s	5m 2s	77.9%	1.7 GB	5 GB	944.8 KB	669.7 MB
45	40/0e2a09	43307	convert_raw_mgf (25)	COMPLETED	0	2020-05-03 06:31:41.603	5m 34s	5m 31s	70.8%	1.7 GB	5.2 GB	946.6 KB	668.1 MB
53	e3/e5dc8d	43108	convert_raw_mzml (26)	COMPLETED	0	2020-05-03 06:31:41.525	6m 3s	6m 1s	54.5%	1.8 GB	5.1 GB	1.6 GB	1.2 GB
54	94/5e81cd	43725	convert_raw_mzml (27)	COMPLETED	0	2020-05-03 06:31:41.705	6m 8s	6m 4s	52.4%	1.8 GB	5 GB	1.6 GB	1.2 GB
35	91/de4ac7	43415	convert_raw_mzml (15)	COMPLETED	0	2020-05-03 06:31:41.634	6m 11s	6m 8s	51.3%	1.7 GB	5 GB	1.6 GB	1.1 GB
55	ae/150589	35169	create_decoy_database (1)	COMPLETED	0	2020-05-03 06:37:49.581	3.3s	1.7s	424.8%	367.1 MB	5 GB	29.2 MB	7.9 MB
26	7c/c6f228	43547	convert_raw_mzml (10)	COMPLETED	0	2020-05-03 06:31:41.667	6m 30s	6m 26s	50.4%	1.8 GB	5.4 GB	1.7 GB	1.2 GB
22	ca/ef0db7	43356	convert_raw_mzml (8)	COMPLETED	0	2020-05-03 06:31:41.619	6m 58s	6m 55s	44.7%	1.8 GB	5.1 GB	1.6 GB	1.2 GB
49	43/30b026	43653	convert_raw_mzml (22)	COMPLETED	0	2020-05-03 06:31:41.690	7m 8s	7m 4s	42.9%	1.7 GB	4.4 GB	1.6 GB	1.2 GB
52	60/108288	43524	convert_raw_mzml (25)	COMPLETED	0	2020-05-03 06:31:41.660	7m 53s	7m 48s	40.4%	1.8 GB	5.2 GB	1.7 GB	1.2 GB
4	b1/5b5b83	37121	convert_raw_mgf (4)	COMPLETED	0	2020-05-03 06:37:52.915	3m	2m 59s	117.9%	1.6 GB	4.4 GB	536.5 KB	634.1 MB
1	30/b80c52	43687	convert_raw_mgf (1)	COMPLETED	0	2020-05-03 06:31:41.699	9m 32s	9m 29s	43.7%	1.7 GB	5.1 GB	971 KB	694.9 MB
23	20/5e1c41	20250	convert_raw_mgf (15)	COMPLETED	0	2020-05-03 06:38:49.668	2m 28s	2m 26s	140.4%	1.7 GB	4.3 GB	539 KB	639.9 MB
21	b9/282a38	43170	convert_raw_mgf (14)	COMPLETED	0	2020-05-03 06:31:41.547	9m 47s	9m 44s	41.0%	1.5 GB	5.1 GB	929 KB	651.8 MB
6	3f/bbdd42	43279	convert_raw_mgf (2)	COMPLETED	0	2020-05-03 06:31:41.597	10m 3s	10m	41.1%	1.4 GB	5.1 GB	943 KB	665.6 MB
15	5d/3c2860	37004	convert_raw_mgf (11)	COMPLETED	0	2020-05-03 06:37:52.760	4m 3s	4m 1s	97.2%	1.8 GB	5 GB	970.9 KB	696.4 MB
13	84/6bf27a	42242	convert_raw_mzml (4)	COMPLETED	0	2020-05-03 06:36:29.306	5m 49s	5m 47s	53.1%	1.7 GB	5.1 GB	1.6 GB	1.2 GB
7	a2/d4d902	9451	convert_raw_mzml (1)	COMPLETED	0	2020-05-03 06:36:47.114	6m 33s	6m 32s	47.7%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
33	ff/69c8c8	21425	convert_raw_mzml (14)	COMPLETED	0	2020-05-03 06:37:15.717	6m 10s	6m 8s	50.9%	1.7 GB	4.5 GB	1.6 GB	1.2 GB
28	22/3a61a3	4298	convert_raw_mzml (11)	COMPLETED	0	2020-05-03 06:38:11.712	5m 37s	5m 36s	54.0%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
10	c8/ee3527	6485	convert_raw_mzml (2)	COMPLETED	0	2020-05-03 06:36:41.304	7m 12s	7m 9s	43.1%	1.7 GB	4.5 GB	1.6 GB	1.2 GB
40	cb/d514cb	32771	convert_raw_mzml (18)	COMPLETED	0	2020-05-03 06:37:44.461	6m 19s	6m 17s	49.6%	1.8 GB	5.4 GB	1.7 GB	1.2 GB
46	61/14df41	6912	convert_raw_mgf (26)	COMPLETED	0	2020-05-03 06:41:55.870	2m 56s	2m 55s	129.6%	1.7 GB	4.4 GB	575.1 KB	711.6 MB
32	13/541ad6	43126	convert_raw_mgf (19)	COMPLETED	0	2020-05-03 06:31:41.532	13m 53s	13m 50s	29.3%	1.4 GB	5 GB	863.4 KB	652.7 MB
19	ca/262200	43335	convert_raw_mgf (12)	COMPLETED	0	2020-05-03 06:31:41.610	13m 57s	13m 53s	30.6%	1.5 GB	4.9 GB	911.8 KB	717.7 MB
5	ca/3c7bcd	43485	convert_raw_mgf (3)	COMPLETED	0	2020-05-03 06:31:41.651	14m 24s	14m 20s	28.9%	1.5 GB	5.2 GB	978.1 KB	664.5 MB
41	a5/d3c1b6	43036	convert_raw_mgf (23)	COMPLETED	0	2020-05-03 06:31:41.478	14m 28s	14m 26s	27.3%	1.3 GB	4.5 GB	622.6 KB	651.2 MB
34	12/e2cd43	43262	convert_raw_mgf (20)	COMPLETED	0	2020-05-03 06:31:41.587	14m 46s	14m 44s	29.3%	1.5 GB	5 GB	969.9 KB	723.4 MB
48	1c/e3492f	40933	convert_raw_mgf (27)	COMPLETED	0	2020-05-03 06:43:52.952	2m 45s	2m 44s	139.8%	1.6 GB	4.4 GB	576.5 KB	713.8 MB
12	d0/68d135	43584	convert_raw_mgf (9)	COMPLETED	0	2020-05-03 06:31:41.676	15m 14s	15m 11s	27.2%	1.7 GB	4.7 GB	684.8 KB	671.5 MB
29	f0/2210e4	44868	convert_raw_mgf (18)	COMPLETED	0	2020-05-03 06:41:44.287	5m 24s	5m 22s	69.7%	1.7 GB	4.4 GB	554 KB	667.2 MB
30	12/8b0da8	13726	convert_raw_mzml (12)	COMPLETED	0	2020-05-03 06:42:18.322	4m 57s	4m 55s	63.9%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
31	9e/ef0186	26118	convert_raw_mzml (13)	COMPLETED	0	2020-05-03 06:40:53.172	6m 23s	6m 22s	50.4%	1.8 GB	5.1 GB	1.6 GB	1.2 GB
42	d5/962346	36596	convert_raw_mzml (19)	COMPLETED	0	2020-05-03 06:41:17.461	6m 11s	6m 9s	52.1%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
59	50/efe60d	29298	create_searchgui_paramfile (1)	COMPLETED	0	2020-05-03 06:47:28.448	3s	1.5s	382.0%	329.3 MB	4.9 GB	24.2 MB	381 KB
44	a0/4eeb27	16318	convert_raw_mzml (20)	COMPLETED	0	2020-05-03 06:44:52.285	2m 41s	2m 40s	118.1%	1.8 GB	4.6 GB	1.6 GB	1.2 GB
11	0e/4faf58	40334	convert_raw_mzml (3)	COMPLETED	0	2020-05-03 06:41:28.702	6m 19s	6m 18s	50.0%	1.7 GB	4.4 GB	1.6 GB	1.2 GB
8	0a/22c9f9	15573	convert_raw_mgf (7)	COMPLETED	0	2020-05-03 06:38:39.198	9m 44s	9m 43s	42.1%	1.7 GB	5.2 GB	922 KB	719.9 MB
17	b5/0334f3	28910	convert_raw_mgf (13)	COMPLETED	0	2020-05-03 06:45:38.511	2m 45s	2m 44s	141.7%	1.7 GB	4.4 GB	555.8 KB	671.5 MB
25	57/ec3776	43436	convert_raw_mgf (16)	COMPLETED	0	2020-05-03 06:31:41.640	17m 10s	17m 7s	25.1%	1.7 GB	5.1 GB	861.5 KB	657.8 MB
50	ef/10b0ba	30543	convert_raw_mzml (23)	COMPLETED	0	2020-05-03 06:43:20.538	5m 37s	5m 35s	59.7%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
37	b9/e51aef	43064	convert_raw_mgf (21)	COMPLETED	0	2020-05-03 06:31:41.505	17m 29s	17m 27s	26.2%	1.5 GB	5.1 GB	945.9 KB	697.6 MB
