mzdbfile	exp_cond
./UPS1_125amol_R2.mzDB	125amol
./UPS1_2500amol_R2.mzDB	2500amol
./UPS1_50000amol_R2.mzDB	50000amol
./UPS1_500amol_R2.mzDB	500amol
./UPS1_12500amol_R1.mzDB	12500amol
./UPS1_125amol_R3.mzDB	125amol
./UPS1_2500amol_R3.mzDB	2500amol
./UPS1_50000amol_R3.mzDB	50000amol
./UPS1_500amol_R3.mzDB	500amol
./UPS1_25000amol_R1.mzDB	25000amol
./UPS1_250amol_R1.mzDB	250amol
./UPS1_5000amol_R1.mzDB	5000amol
./UPS1_50amol_R1.mzDB	50amol
./UPS1_12500amol_R2.mzDB	12500amol
./UPS1_25000amol_R2.mzDB	25000amol
./UPS1_250amol_R2.mzDB	250amol
./UPS1_5000amol_R2.mzDB	5000amol
./UPS1_50amol_R2.mzDB	50amol
./UPS1_12500amol_R3.mzDB	12500amol
./UPS1_25000amol_R3.mzDB	25000amol
./UPS1_250amol_R3.mzDB	250amol
./UPS1_5000amol_R3.mzDB	5000amol
./UPS1_50amol_R3.mzDB	50amol
./UPS1_125amol_R1.mzDB	125amol
./UPS1_2500amol_R1.mzDB	2500amol
./UPS1_50000amol_R1.mzDB	50000amol
./UPS1_500amol_R1.mzDB	500amol
