task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	3b/66f588	20394	convert_raw_mzml (4)	COMPLETED	0	2020-04-27 15:07:27.492	3m 11s	3m 9s	159.7%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
10	82/f7050e	20380	convert_raw_mzml (10)	COMPLETED	0	2020-04-27 15:07:27.463	3m 16s	3m 14s	159.4%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
3	2f/74e188	20408	convert_raw_mzml (3)	COMPLETED	0	2020-04-27 15:07:27.511	3m 17s	3m 15s	160.5%	1.8 GB	4.5 GB	1.7 GB	1.2 GB
5	0c/2d2a13	32329	convert_raw_mzml (6)	COMPLETED	0	2020-04-27 15:10:38.174	3m 6s	3m 4s	161.1%	1.7 GB	4.4 GB	1.6 GB	1.2 GB
1	64/510062	907	convert_raw_mzml (2)	COMPLETED	0	2020-04-27 15:10:44.374	3m 5s	3m 4s	161.2%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
12	9a/5ebdd7	573	convert_raw_mzml (12)	COMPLETED	0	2020-04-27 15:10:43.103	3m 9s	3m 8s	162.2%	1.8 GB	4.5 GB	1.7 GB	1.2 GB
9	60/b62537	11820	convert_raw_mzml (9)	COMPLETED	0	2020-04-27 15:13:43.839	3m 33s	3m 31s	159.7%	1.8 GB	4.5 GB	1.6 GB	1.2 GB
8	9a/244635	12570	convert_raw_mzml (8)	COMPLETED	0	2020-04-27 15:13:49.296	3m 33s	3m 31s	158.2%	1.7 GB	4.4 GB	1.6 GB	1.2 GB
2	e9/ca09d9	13164	convert_raw_mzml (1)	COMPLETED	0	2020-04-27 15:13:52.228	3m 34s	3m 33s	158.0%	1.8 GB	4.4 GB	1.6 GB	1.2 GB
11	3e/f878ba	26405	convert_raw_mzml (11)	COMPLETED	0	2020-04-27 15:17:16.431	2m 50s	2m 49s	155.7%	1.7 GB	4.3 GB	1.6 GB	1.2 GB
6	f0/a3d4d0	27174	convert_raw_mzml (5)	COMPLETED	0	2020-04-27 15:17:22.032	2m 50s	2m 49s	155.8%	1.7 GB	4.4 GB	1.6 GB	1.2 GB
7	51/b3976d	28055	convert_raw_mzml (7)	COMPLETED	0	2020-04-27 15:17:26.332	2m 57s	2m 55s	155.6%	1.8 GB	4.6 GB	1.7 GB	1.2 GB
