protein_set_id,accession,gene_name,samesets_accessions,subsets_accessions,description,protein_set_score,is_validated,selection_level,#sameset_protein_matches,#subset_protein_matches,coverage,MW,#observable_peptides,#sequences,#specific_sequences,#peptides,#specific_peptides,#peptide_matches,#specific_peptide_matches,peptides_count_UPS1_125amol_R2,peptides_count_UPS1_2500amol_R2,peptides_count_UPS1_50000amol_R2,peptides_count_UPS1_500amol_R2,peptides_count_UPS1_12500amol_R1,peptides_count_UPS1_125amol_R3,peptides_count_UPS1_2500amol_R3,peptides_count_UPS1_50000amol_R3,peptides_count_UPS1_500amol_R3,peptides_count_UPS1_25000amol_R1,peptides_count_UPS1_250amol_R1,peptides_count_UPS1_5000amol_R1,peptides_count_UPS1_50amol_R1,peptides_count_UPS1_12500amol_R2,peptides_count_UPS1_25000amol_R2,peptides_count_UPS1_250amol_R2,peptides_count_UPS1_5000amol_R2,peptides_count_UPS1_50amol_R2,peptides_count_UPS1_12500amol_R3,peptides_count_UPS1_25000amol_R3,peptides_count_UPS1_250amol_R3,peptides_count_UPS1_5000amol_R3,peptides_count_UPS1_50amol_R3,peptides_count_UPS1_125amol_R1,peptides_count_UPS1_2500amol_R1,peptides_count_UPS1_50000amol_R1,peptides_count_UPS1_500amol_R1,psm_count_UPS1_125amol_R2,psm_count_UPS1_2500amol_R2,psm_count_UPS1_50000amol_R2,psm_count_UPS1_500amol_R2,psm_count_UPS1_12500amol_R1,psm_count_UPS1_125amol_R3,psm_count_UPS1_2500amol_R3,psm_count_UPS1_50000amol_R3,psm_count_UPS1_500amol_R3,psm_count_UPS1_25000amol_R1,psm_count_UPS1_250amol_R1,psm_count_UPS1_5000amol_R1,psm_count_UPS1_50amol_R1,psm_count_UPS1_12500amol_R2,psm_count_UPS1_25000amol_R2,psm_count_UPS1_250amol_R2,psm_count_UPS1_5000amol_R2,psm_count_UPS1_50amol_R2,psm_count_UPS1_12500amol_R3,psm_count_UPS1_25000amol_R3,psm_count_UPS1_250amol_R3,psm_count_UPS1_5000amol_R3,psm_count_UPS1_50amol_R3,psm_count_UPS1_125amol_R1,psm_count_UPS1_2500amol_R1,psm_count_UPS1_50000amol_R1,psm_count_UPS1_500amol_R1,raw_abundance_UPS1_125amol_R2,raw_abundance_UPS1_2500amol_R2,raw_abundance_UPS1_50000amol_R2,raw_abundance_UPS1_500amol_R2,raw_abundance_UPS1_12500amol_R1,raw_abundance_UPS1_125amol_R3,raw_abundance_UPS1_2500amol_R3,raw_abundance_UPS1_50000amol_R3,raw_abundance_UPS1_500amol_R3,raw_abundance_UPS1_25000amol_R1,raw_abundance_UPS1_250amol_R1,raw_abundance_UPS1_5000amol_R1,raw_abundance_UPS1_50amol_R1,raw_abundance_UPS1_12500amol_R2,raw_abundance_UPS1_25000amol_R2,raw_abundance_UPS1_250amol_R2,raw_abundance_UPS1_5000amol_R2,raw_abundance_UPS1_50amol_R2,raw_abundance_UPS1_12500amol_R3,raw_abundance_UPS1_25000amol_R3,raw_abundance_UPS1_250amol_R3,raw_abundance_UPS1_5000amol_R3,raw_abundance_UPS1_50amol_R3,raw_abundance_UPS1_125amol_R1,raw_abundance_UPS1_2500amol_R1,raw_abundance_UPS1_50000amol_R1,raw_abundance_UPS1_500amol_R1,125amol 1,2500amol 1,50000amol 1,500amol 1,12500amol 1,25000amol 1,250amol 1,5000amol 1,50amol 1,125amol 2,2500amol 2,50000amol 2,500amol 2,12500amol 2,25000amol 2,250amol 2,5000amol 2,50amol 2,125amol 3,2500amol 3,50000amol 3,500amol 3,12500amol 3,25000amol 3,DDGDG,5000amol 3,50amol 3
21709,P07259,NA,P07259,NA,PYR1_YEAST Protein URA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA2 PE=1 SV=5,1824446,true,2,1,0,0,0,-1,47,46,47,46,1683,1675,28,28,27,29,24,23,22,27,28,28,26,26,29,26,27,29,31,27,25,27,28,29,21,28,25,24,30,75,61,60,66,56,66,53,72,61,67,58,59,62,65,54,52,64,54,64,67,69,63,55,69,60,50,77,98333520,92056624,112009096,100953904,93790112,95542032,96368216,111363712,98300576,89553688,90744152,96567040,103539224,92940336,121832440,93171864,93758120,100756472,90776504,108858520,94529176,92849320,100324624,98732976,91975888,115124880,100690016,26.551179951525,26.4560181996718,26.7390406540714,26.5891214614724,26.4829324961151,26.4162495107137,26.4353013359431,26.5250275205329,26.6256021698206,26.5096322247673,26.5220540619096,26.7307039644314,26.5506965343879,26.4698015247333,26.8603230860688,26.4733910204218,26.4824403059228,26.5862972710275,26.5570286776275,26.454752364271,26.7786244116284,26.5853453979413,26.435815592243,26.697879086062,26.4942563435355,26.468388008554,26.5801005082459
21824,P00549,NA,P00549,NA,KPYK1_YEAST Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2,1535573,true,2,1,0,0,0,-1,26,23,28,25,2600,2328,24,18,23,24,20,22,16,19,21,22,21,19,20,20,16,22,15,22,19,15,23,15,24,24,17,20,23,87,80,82,96,89,101,93,67,98,77,94,96,53,89,75,85,83,79,83,67,85,78,70,105,82,74,96,266561024,229702304,324106144,269212992,242179728,251593952,251992960,320873120,268949760,228206032,235006128,244400608,305836224,240217344,307911552,249818736,247027376,278299488,243451664,278555424,247970448,243106992,268187760,259976864,238986944,321967168,268771456,27.9898906070702,27.775190086658,28.2718911288269,28.0041727940163,27.8515028663364,27.7657616849125,27.808123135974,27.8646726332797,28.1881840522925,27.9065220011711,27.9088081883996,28.2574276971544,28.0027614606236,27.8397650783333,28.1979407534725,27.8963064398904,27.8800956917222,28.0520630135803,27.9538079989771,27.8323565641629,28.2623383388097,28.0018046886074,27.8590601206069,28.0533891673631,27.8855929560649,27.8570161464131,27.9986681537229
21675,P10591,NA,P10591,NA,HSP71_YEAST Heat shock protein SSA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSA1 PE=1 SV=4,1421019,true,2,1,0,0,0,-1,19,4,22,6,1667,115,15,16,16,14,16,15,15,15,15,14,14,17,16,15,15,14,14,16,16,16,15,15,14,15,14,17,15,47,52,43,50,51,43,42,35,53,54,56,46,35,42,55,46,48,39,52,56,49,45,37,46,42,46,45,115800576,109479720,134431904,114723712,108755712,113345704,115958048,134666080,114591200,105850544,105374120,109906192,129197704,111331816,137955200,107501432,109768928,117735504,111066432,125764024,110311328,112077800,110721848,111429872,111302336,134128256,115783600,26.7870671885079,26.7060884091525,27.0023003248971,26.7735883688419,26.6965159343836,26.6574534429374,26.6509453420865,26.7116974276067,26.9450051909168,26.7561544705539,26.789027711957,27.004811266333,26.7719210160748,26.7302906988238,27.0396245968906,26.6797806368256,26.7098944913628,26.8109742002982,26.7315607997585,26.729908631206,26.9990379523214,26.7868556784515,26.7268476108868,26.9061440436399,26.717005709686,26.7399253012772,26.7223646866496
22454,P19097,NA,P19097,NA,FAS2_YEAST Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS2 PE=1 SV=2,1419819,true,2,1,0,0,0,-1,29,29,31,31,1103,1103,18,14,19,16,17,14,18,15,15,18,19,13,16,15,15,17,16,16,18,15,19,18,18,20,16,19,17,37,38,44,41,37,35,35,36,34,41,46,41,32,41,48,35,41,31,40,39,48,44,33,48,34,40,31,46603708,40757292,49479456,47747224,40491920,45005544,44084396,46677628,47323384,39308680,43043476,40189964,47910664,40619008,51419704,43881704,40579252,47256752,40685544,43716900,44184876,42419932,47049616,47325668,41748704,50370608,47724000,25.473941410945,25.2805548632139,25.5603263029572,25.5089135222216,25.2711307169272,25.2283445825544,25.3592912524562,25.2603319493204,25.5138434723149,25.423599394735,25.3937647577027,25.4762279142117,25.4960499057984,25.2756516706857,25.6158179694636,25.3871162133031,25.2742389362594,25.4940171391746,25.4961195338697,25.3152280770846,25.5860788094084,25.5082116321885,25.2780129450869,25.3816877662005,25.3970492995832,25.3382389724128,25.487679612518
21673,P10592,NA,P10592,NA,HSP72_YEAST Heat shock protein SSA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSA2 PE=1 SV=3,1389165,true,2,1,0,0,0,-1,18,3,20,4,1633,81,15,14,14,14,15,14,14,16,15,14,14,17,16,13,13,15,13,15,16,15,14,14,14,15,14,15,15,46,49,40,49,47,42,42,37,53,52,57,45,34,39,54,47,44,37,51,53,47,42,35,46,43,44,46,110640480,103728448,128641952,109526144,103101184,107676272,110845296,129313328,109314416,101091600,100409104,104779632,128300264,106333552,131532264,101720120,104695552,113298280,105557808,120265640,105231536,106466608,106331848,106555440,109907464,128289040,110135712,26.721304079667,26.628236373212,26.9387859622035,26.7067000427806,26.619485659614,26.5910878835227,26.5813148421346,26.6427830592906,26.9349488981243,26.6821251256065,26.7239723061966,26.9462957368655,26.7039084301936,26.6640216491609,26.9708414856392,26.6000298281989,26.6416249096402,26.7555507186306,26.6670290083498,26.7117141245501,26.9348226823476,26.7147071042169,26.6534580563653,26.8416492812291,26.6489918782998,26.6658257761538,26.6639985297221
21916,P15108,NA,P15108,NA,HSC82_YEAST ATP-dependent molecular chaperone HSC82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSC82 PE=1 SV=4,1277155,true,2,1,0,0,0,-1,20,3,22,3,1105,212,16,14,15,16,16,18,16,16,16,15,17,16,15,14,16,17,17,15,17,16,17,15,16,17,15,15,17,34,33,40,45,38,43,42,45,46,35,43,43,29,36,38,41,41,32,39,36,48,39,39,43,43,43,48,136348528,115181208,148146304,137165280,116654008,128901384,124300456,145176096,131237280,115620800,118233936,121240288,144975120,118724176,148486208,122383352,121652440,135577440,116062040,133780640,126886640,120107536,139070512,141336608,120349408,150076176,134817360,27.0227238842984,26.7793301170536,27.1424473930431,27.0313401042331,26.7976606354085,26.7848257188535,26.8170689424315,26.8532939433849,27.1112300915291,26.9416925129398,26.8892563480696,27.1132286847379,26.9676023573427,26.8230385023675,27.1457536929932,26.8668320783993,26.8581900160016,27.0145418940047,27.0745599497509,26.8426538042967,27.161119732096,27.0064310388037,26.790320951297,26.995294111275,26.918964933712,26.8397514331128,27.0512413076542
21915,P02829,NA,P02829,NA,HSP82_YEAST ATP-dependent molecular chaperone HSP82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSP82 PE=1 SV=1,1208842,true,2,1,0,0,0,-1,19,2,21,2,965,72,14,13,14,15,15,17,14,15,15,14,16,14,15,13,14,16,15,13,16,15,15,13,15,15,14,14,16,26,31,38,37,34,35,36,41,37,33,33,39,31,35,29,35,35,28,34,30,39,38,35,36,37,41,39,121376528,103970904,135147584,122647528,105993728,115971760,110771240,131166856,117262240,105809672,104959616,108763432,131867872,107488840,132545808,109944992,109154080,122397960,105796056,119495600,113447872,107965824,124769712,127260752,108257520,136664384,120927048,26.8549142168373,26.6316046093124,27.0099604804989,26.8699429153093,26.6594036573684,26.6568962684853,26.6452591060053,26.6966183401353,26.9745178714349,26.7891983000724,26.7230081161605,26.966827976576,26.8051632802673,26.679611639263,26.9819158021955,26.7122066499556,26.7017908160035,26.8670042720117,26.9232123108952,26.6898920028951,27.0260620713813,26.8495617303284,26.6567106049318,26.8323822561748,26.7574543069911,26.685999466408,26.8946925198164
21833,P32324,NA,P32324,NA,EF2_YEAST Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFT1 PE=1 SV=1,1177913,true,2,1,0,0,0,-1,23,23,25,25,1011,1011,15,18,16,15,16,18,13,18,17,16,19,18,21,18,18,18,17,20,13,18,18,17,17,15,17,16,16,28,36,32,26,41,31,24,39,35,36,34,34,39,36,35,31,43,39,34,38,30,31,35,26,45,40,28,105914056,101667256,129225216,107310864,104097720,105664912,106900888,123599672,105018216,102177824,101841592,109477504,109997176,107666360,140954288,104414288,106713200,107347872,103484376,124095776,103031720,106011536,104580760,106942728,108639664,129071784,107585272,26.6583188231774,26.5992798639301,26.9453123728503,26.6772208989913,26.6333632294585,26.6065068763453,26.6017516360093,26.7060592069901,26.7128912444571,26.6549211416139,26.6716985963283,26.881099673825,26.6460643522619,26.6819923140668,27.0706521262037,26.6377439021976,26.6691634019593,26.6777183514556,26.6722631430976,26.6949756818439,26.9435984109262,26.6809053512418,26.6248377261586,26.8868787686239,26.6185133221544,26.6596460241179,26.6400422186595
22007,P02768ups,NA,P02768ups,NA,ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human),1170489,true,2,1,0,0,0,-1,19,19,21,21,400,400,NA,3,20,NA,8,NA,2,19,NA,11,NA,5,NA,7,12,NA,5,NA,7,11,NA,6,NA,NA,2,17,NA,0,5,64,0,19,0,2,73,0,29,0,12,0,14,31,0,11,0,17,32,0,13,0,0,3,74,0,693557.31,3972020.5,84861192,2051774.62,17867762,1204749.25,4645257.5,85171848,1733429.25,31737336,861613.94,7887191,445891.44,18170066,41887596,1237091.5,7574974.5,1794146.75,17129154,39217664,1028802.12,7488466,770777.62,747680.56,4165802.25,84869784,1940013.38,19.4036555746305,21.9214416381049,26.3386016077519,20.968440834155,24.0908556072815,24.919677699099,19.7166820657839,22.9110801494194,18.7663329782194,20.2003014722725,22.1473271408893,26.3438733169363,20.7251975233976,24.1150603241633,25.3200197520827,20.238520780806,22.8528096013044,20.7748664678525,19.5120624973066,21.9901629258137,26.3387476699039,20.8876351718361,24.0299505634359,25.2250002681765,19.9725340899937,22.8362387845567,19.555955157145
22039,P16521,NA,P16521,P53978,EF3A_YEAST Elongation factor 3A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YEF3 PE=1 SV=4,1149327,true,2,1,1,0,0,-1,22,22,23,23,1182,1182,15,13,13,12,11,13,12,14,13,12,12,13,20,12,13,13,12,19,11,11,13,11,18,14,15,13,12,30,49,22,44,54,33,48,29,48,41,51,58,44,36,47,44,46,46,38,41,37,44,40,30,50,29,39,83630376,76805592,104306752,80721424,76936160,78827680,81949024,100140080,80731336,75402776,69986824,80381688,87523536,78371232,102987256,74209592,79989896,84049968,77696248,93168816,77123064,78690424,82513232,85568984,79213216,105507944,80326040,26.3175237135142,26.1947080175665,26.6362573087267,26.2664482893448,26.1971584885535,26.1681143023966,26.060580004282,26.2603635382449,26.3831676892092,26.2321989790026,26.2882234313673,26.5774442721752,26.2666254308599,26.2238208406514,26.6178905834675,26.1451023394195,26.2533144403202,26.3247439344017,26.3505846251135,26.2392378150596,26.652776386827,26.2593644189388,26.2113415958884,26.4733438237014,26.2006590333338,26.2296847460907,26.2981221558132
