"all_quant[, 1]","prot_descr[all_quant[, 1], 2]","SIN_12500amol_1","SIN_12500amol_2","SIN_12500amol_3","SIN_125amol_1","SIN_125amol_2","SIN_125amol_3","SIN_25000amol_1","SIN_25000amol_2","SIN_25000amol_3","SIN_2500amol_1","SIN_2500amol_2","SIN_2500amol_3","SIN_250amol_1","SIN_250amol_2","SIN_250amol_3","SIN_50000amol_1","SIN_50000amol_2","SIN_50000amol_3","SIN_5000amol_1","SIN_5000amol_2","SIN_5000amol_3","SIN_500amol_1","SIN_500amol_2","SIN_500amol_3","SIN_50amol_1","SIN_50amol_2","SIN_50amol_3"
"sp|O00762ups|UBE2C_HUMAN_UPS","Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)",-17.4296,-18.0823,-17.728,NA,NA,NA,-16.5051,-18.6152,-16.8761,-21.8794,NA,NA,NA,NA,NA,-16.2571,-15.5314,-15.2168,-18.6383,-21.2069,-20.5705,NA,NA,NA,NA,NA,NA
"sp|O13547|CCW14_YEAST","Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=CCW14 PE=1 SV=1",-18.9122,-18.0078,-21.0441,-18.082,-18.028,-18.4729,-18.2431,-18.4678,-17.7763,-17.7024,-19.1258,-18.4174,-17.8591,-18.7482,-18.3977,-18.5916,-18.3662,-17.9188,-17.475,-17.85,-18.0019,-17.9929,-18.1226,-18.1867,-19.3976,-18.8945,-18.2149
"sp|O13585|YP089_YEAST","Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)",-22.016,NA,-26.303,NA,NA,NA,-27.378,-27.3661,-25.6192,NA,NA,-27.5996,NA,-27.6643,NA,-27.4323,NA,NA,NA,NA,-26.8297,NA,NA,NA,NA,NA,NA
"sp|O14455|RL36B_YEAST","Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)",-19.7971,-20.598,-20.8625,-20.9261,-19.3011,-20.8105,-21.2438,-19.0502,-19.9159,-19.6661,-19.0755,-19.4593,-19.7398,-20.8495,-19.6792,-15.5392,-16.9926,-17.1217,-19.6933,-19.7467,-19.7236,-20.9303,-20.9195,-21.2255,NA,-17.8066,-20.5445
"sp|O76070ups|SYUG_HUMAN_UPS","Cytochrome b2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=CYB2 PE=1 SV=1",-19.7566,-19.8645,-18.4332,NA,NA,NA,-16.6964,-16.3423,-16.4083,NA,NA,NA,NA,NA,NA,-15.8375,-15.2888,-15.584,-20.2922,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P00044|CYC1_YEAST","Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=TDH2 PE=1 SV=3",-19.9742,-21.1361,-19.0225,-17.9223,-17.6988,-18.3216,-19.5742,-15.1361,-22.3299,-20.5209,-20.7519,-20.3538,-17.7233,-17.4652,-17.7976,-21.9446,-21.8993,-20.8644,-20.611,-21.4006,-21.2408,-17.4701,-17.9232,-18.1357,-18.2727,-18.5037,-18.1525
"sp|P00128|QCR7_YEAST","Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=TDH3 PE=1 SV=3",-22.7189,NA,NA,-21.3798,-19.8881,-20.7123,-21.8163,NA,NA,NA,NA,NA,-20.7386,NA,-21.8522,-21.8262,-21.0964,-21.1819,NA,NA,NA,-21.1388,-21.327,-20.8675,NA,NA,-19.906
"sp|P00167ups|CYB5_HUMAN_UPS","Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=TDH1 PE=1 SV=3",-17.6873,-17.6476,-16.7433,NA,NA,NA,-15.577,-15.2015,-15.2281,NA,NA,NA,NA,NA,NA,-14.5881,-13.9684,-14.2723,-21.4253,NA,-20.9603,NA,NA,NA,NA,NA,NA
"sp|P00175|CYB2_YEAST","Superoxide dismutase [Cu-Zn] OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=SOD1 PE=1 SV=2",-21.425,-20.5834,-20.222,-19.375,-19.8364,-21.6891,-19.9845,-21.1787,-20.4701,-21.9384,-20.2221,-20.7445,-20.0492,-19.2396,-19.381,-19.8826,-20.5254,-21.0591,-19.8956,-20.2685,-20.2289,-20.889,-20.791,-19.938,-20.2286,-24.5603,-19.5654
"sp|P00330|ADH1_YEAST","ATP phosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=HIS1 PE=1 SV=1",-14.4835,-14.285,-14.222,-14.5676,-14.539,-14.1865,-14.3681,-14.2643,-14.7582,-14.4347,-14.6379,-14.2683,-14.537,-14.2886,-14.3529,-14.5966,-14.3177,-14.7676,-14.0635,-14.642,-14.465,-14.5837,-14.441,-14.2152,-14.7449,-14.4923,-14.5412
